,mass A,,
t,x,y,
5.938,-17.28,-0.212
5.971,-17.40,-0.212
6.005,-17.53,-0.210
6.038,-17.65,-0.212
6.072,-17.78,-0.213
6.105,-17.90,-0.210
6.138,-18.03,-0.210
6.172,-18.15,-0.210
6.205,-18.27,-0.211
6.238,-18.40,-0.207
6.272,-18.52,-0.209
6.305,-18.64,-0.207
6.338,-18.77,-0.203
6.372,-18.90,-0.203
6.405,-19.02,-0.201
6.439,-19.15,-0.202
6.472,-19.27,-0.198
6.505,-19.40,-0.198
6.539,-19.52,-0.198
6.572,-19.65,-0.195
6.605,-19.77,-0.197
6.639,-19.90,-0.196
6.672,-20.02,-0.196
6.705,-20.15,-0.191
6.739,-20.28,-0.190
6.772,-20.40,-0.189
6.805,-20.53,-0.185
6.839,-20.65,-0.183
6.872,-20.78,-0.181
6.906,-20.91,-0.178
6.939,-21.04,-0.179
6.972,-21.16,-0.174
7.006,-21.29,-0.173
